"Date","Price","Open","High","Low","Vol.","Change %"
"10/08/2025","5,750.0","5,678.5","5,750.1","5,678.5","858.31M","1.52%"
"10/07/2025","5,663.8","5,716.1","5,726.2","5,635.4","852.10M","-0.52%"
"10/06/2025","5,693.4","5,698.1","5,715.7","5,683.7","986.06M","0.57%"
"10/03/2025","5,661.3","5,683.6","5,712.3","5,636.8","766.59M","-0.32%"
"10/02/2025","5,679.3","5,697.9","5,706.9","5,656.5","780.17M","0.49%"
"10/01/2025","5,651.8","5,585.5","5,655.2","5,576.5","917.80M","0.71%"
"09/30/2025","5,612.0","5,565.5","5,614.1","5,557.7","840.05M","0.86%"
"09/29/2025","5,564.3","5,564.9","5,599.9","5,551.1","806.99M","0.49%"
"09/26/2025","5,537.0","5,520.4","5,542.7","5,486.6","837.41M","0.21%"
"09/25/2025","5,525.6","5,475.2","5,537.1","5,448.3","1.03B","0.03%"
"09/24/2025","5,523.8","5,571.8","5,571.9","5,487.9","811.68M","-0.52%"
"09/23/2025","5,552.5","5,601.9","5,609.2","5,533.0","874.96M","-1.14%"
"09/22/2025","5,616.3","5,512.8","5,619.3","5,512.8","1.03B","1.74%"
"09/19/2025","5,520.0","5,472.3","5,524.5","5,466.3","1.53B","1.19%"
"09/18/2025","5,455.4","5,444.5","5,472.1","5,410.5","1.33B","1.36%"
"09/17/2025","5,382.2","5,413.8","5,418.0","5,333.0","817.79M","-0.70%"
"09/16/2025","5,420.0","5,463.7","5,464.0","5,418.9","694.57M","-0.57%"
"09/15/2025","5,451.2","5,409.5","5,451.5","5,401.4","719.33M","0.82%"
"09/12/2025","5,406.7","5,404.2","5,421.5","5,377.7","746.06M","0.45%"
"09/11/2025","5,382.5","5,409.1","5,411.6","5,374.0","815.73M","0.18%"
"09/10/2025","5,373.1","5,377.8","5,405.3","5,345.5","1.05B","1.76%"
"09/09/2025","5,280.3","5,300.1","5,300.6","5,251.1","704.40M","0.01%"
"09/08/2025","5,279.7","5,272.1","5,310.9","5,268.5","706.79M","0.67%"
"09/05/2025","5,244.5","5,305.4","5,310.5","5,197.6","936.08M","-0.21%"
"09/04/2025","5,255.3","5,215.9","5,256.5","5,195.1","727.63M","0.55%"
"09/03/2025","5,226.6","5,221.2","5,239.9","5,187.0","697.67M","0.82%"
