Date,Price,Open,High,Low,Vol.,Change %,Index
2020-01-02,460.34,456.46,460.93,456.46,133.61M,0.85,Energy
2020-01-03,458.77,460.34,465.54,456.81,171.55M,-0.34,Energy
2020-01-06,462.34,458.77,464.81,458.77,195.33M,0.78,Energy
2020-01-07,461.39,462.34,462.34,455.75,197.25M,-0.21,Energy
2020-01-08,453.36,461.39,461.39,452.84,187.23M,-1.74,Energy
2020-01-09,456.79,453.36,457.19,447.94,183.66M,0.76,Energy
2020-01-10,453.87,456.79,456.79,453.6,146.00M,-0.64,Energy
2020-01-13,454.25,453.87,455.66,451.23,143.04M,0.08,Energy
2020-01-14,454.26,454.25,454.76,450.42,171.61M,0.0,Energy
2020-01-15,451.21,454.26,454.26,449.74,135.98M,-0.67,Energy
2020-01-16,451.74,451.21,455.0,451.21,147.53M,0.12,Energy
2020-01-17,448.77,451.74,453.19,448.09,166.25M,-0.66,Energy
2020-01-21,440.32,448.77,448.77,440.1,200.13M,-1.88,Energy
2020-01-22,436.39,440.32,440.32,435.38,172.65M,-0.89,Energy
2020-01-23,434.81,436.39,436.39,428.72,195.50M,-0.36,Energy
2020-01-24,429.71,434.81,434.81,426.7,165.92M,-1.17,Energy
2020-01-27,417.87,429.71,429.71,417.65,196.95M,-2.76,Energy
2020-01-28,419.59,417.87,422.35,417.87,173.48M,0.41,Energy
2020-01-29,415.12,419.59,423.58,414.99,164.02M,-1.07,Energy
2020-01-30,418.79,415.12,419.21,410.14,197.69M,0.88,Energy
2020-01-31,405.45,418.79,418.79,403.32,264.59M,-3.19,Energy
2020-02-03,400.02,405.45,405.45,398.56,186.60M,-1.34,Energy
2020-02-04,400.81,400.02,408.57,400.02,195.87M,0.2,Energy
2020-02-05,415.97,400.81,417.25,400.81,192.18M,3.78,Energy
2020-02-06,411.64,415.97,417.44,410.91,131.42M,-1.04,Energy
2020-02-07,408.55,411.64,411.64,406.72,133.10M,-0.75,Energy
2020-02-10,405.24,408.55,408.55,402.79,153.01M,-0.81,Energy
2020-02-11,409.47,405.24,410.89,405.24,145.07M,1.04,Energy
2020-02-12,415.03,409.47,417.2,409.47,169.57M,1.36,Energy
2020-02-13,413.15,415.03,415.74,410.97,183.73M,-0.45,Energy
2020-02-14,409.82,413.15,413.71,407.53,141.96M,-0.81,Energy
2020-02-18,406.42,409.82,409.82,402.65,163.40M,-0.83,Energy
2020-02-19,411.79,406.42,413.29,406.42,158.28M,1.32,Energy
2020-02-20,411.11,411.79,415.68,410.06,172.55M,-0.17,Energy
2020-02-21,405.93,411.11,411.11,402.89,176.29M,-1.26,Energy
2020-02-24,386.7,405.93,405.93,386.34,236.98M,-4.74,Energy
2020-02-25,369.92,386.7,388.52,367.92,282.04M,-4.34,Energy
2020-02-26,358.94,369.92,373.2,358.94,278.31M,-2.97,Energy
2020-02-27,339.3,358.94,358.94,339.2,371.35M,-5.47,Energy
2020-02-28,343.53,339.3,343.55,325.99,459.40M,1.25,Energy
2020-03-02,353.68,343.53,353.75,336.99,338.16M,2.95,Energy
2020-03-03,342.64,353.68,359.75,338.67,331.54M,-3.12,Energy
2020-03-04,350.25,342.64,350.45,342.33,241.31M,2.22,Energy
2020-03-05,337.59,350.25,350.25,331.75,285.70M,-3.61,Energy
2020-03-06,318.64,337.59,337.59,314.02,423.05M,-5.61,Energy
2020-03-09,254.65,318.64,318.64,253.12,879.81M,-20.08,Energy
2020-03-10,267.37,254.65,275.5,250.7,703.39M,5.0,Energy
2020-03-11,252.77,267.37,267.37,249.13,538.92M,-5.46,Energy
2020-03-12,221.69,252.77,252.77,220.68,591.03M,-12.3,Energy
2020-03-13,241.29,221.69,241.29,215.83,579.72M,8.84,Energy
2020-03-16,208.41,241.29,241.29,207.53,454.27M,-13.63,Energy
2020-03-17,209.92,208.41,218.92,202.11,460.46M,0.72,Energy
2020-03-18,179.94,209.92,209.92,172.45,528.86M,-14.28,Energy
2020-03-19,192.08,179.94,193.26,173.18,485.32M,6.75,Energy
2020-03-20,193.93,192.08,201.48,186.26,590.40M,0.96,Energy
2020-03-23,181.03,193.93,193.93,178.04,414.42M,-6.65,Energy
2020-03-24,210.56,181.03,211.68,181.03,462.39M,16.31,Energy
2020-03-25,220.02,210.56,230.58,205.83,466.20M,4.49,Energy
2020-03-26,233.76,220.02,237.74,219.72,442.39M,6.24,Energy
2020-03-27,217.56,233.76,233.76,216.33,389.15M,-6.93,Energy
2020-03-30,219.81,217.56,221.96,208.26,423.43M,1.03,Energy
2020-03-31,223.4,219.81,230.63,219.05,417.28M,1.63,Energy
2020-04-01,213.04,223.4,223.4,209.97,367.18M,-4.64,Energy
2020-04-02,232.37,213.04,243.25,213.04,604.72M,9.07,Energy
2020-04-03,229.26,232.37,241.06,223.16,530.84M,-1.34,Energy
2020-04-06,241.07,229.26,242.79,229.26,414.98M,5.15,Energy
2020-04-07,245.9,241.07,259.47,241.07,483.13M,2.0,Energy
2020-04-08,262.46,245.9,263.14,245.9,367.69M,6.73,Energy
2020-04-09,259.63,262.46,279.0,250.05,663.24M,-1.08,Energy
2020-04-13,258.57,259.63,268.77,254.61,366.78M,-0.41,Energy
2020-04-14,257.37,258.57,263.15,256.06,342.17M,-0.46,Energy
2020-04-15,245.34,257.37,257.37,237.91,357.39M,-4.67,Energy
2020-04-16,235.59,245.34,245.34,235.05,310.71M,-3.97,Energy
2020-04-17,260.17,235.59,260.55,235.59,408.50M,10.43,Energy
2020-04-20,251.6,260.17,260.88,243.82,420.66M,-3.29,Energy
2020-04-21,247.38,251.6,252.04,240.46,408.60M,-1.68,Energy
2020-04-22,256.24,247.38,259.73,247.38,344.20M,3.58,Energy
2020-04-23,263.96,256.24,270.25,256.24,418.98M,3.01,Energy
2020-04-24,264.51,263.96,271.33,260.69,395.64M,0.21,Energy
2020-04-27,270.07,264.51,272.15,256.89,298.61M,2.1,Energy
2020-04-28,275.99,270.07,278.05,270.04,297.65M,2.19,Energy
2020-04-29,296.28,275.99,296.97,275.99,400.09M,7.35,Energy
2020-04-30,289.65,296.28,296.76,285.58,455.71M,-2.24,Energy
2020-05-01,272.28,289.65,289.65,270.04,318.69M,-6.0,Energy
2020-05-04,282.38,272.28,282.47,266.99,309.27M,3.71,Energy
2020-05-05,283.12,282.38,296.21,281.96,350.96M,0.26,Energy
2020-05-06,275.67,283.12,286.36,275.43,272.95M,-2.63,Energy
2020-05-07,282.49,275.67,287.88,275.67,280.89M,2.47,Energy
2020-05-08,294.75,282.49,294.88,282.49,257.22M,4.34,Energy
2020-05-11,289.78,294.75,294.75,288.54,223.24M,-1.69,Energy
2020-05-12,282.93,289.78,291.55,282.93,269.64M,-2.36,Energy
2020-05-13,270.52,282.93,282.93,268.32,322.08M,-4.39,Energy
2020-05-14,273.07,270.52,275.68,259.46,264.30M,0.94,Energy
2020-05-15,272.31,273.07,278.71,270.02,257.74M,-0.28,Energy
2020-05-18,292.87,272.31,294.7,272.31,347.82M,7.55,Energy
2020-05-19,284.4,292.87,292.98,284.36,257.18M,-2.89,Energy
2020-05-20,295.26,284.4,296.11,284.4,277.10M,3.82,Energy
2020-05-21,290.88,295.26,297.7,288.76,281.47M,-1.48,Energy
2020-05-22,288.94,290.88,290.88,283.17,183.59M,-0.67,Energy
2020-05-26,297.34,288.94,300.05,288.94,240.60M,2.91,Energy
2020-05-27,300.79,297.34,303.18,292.7,251.49M,1.16,Energy
2020-05-28,292.04,300.79,301.3,291.02,267.44M,-2.91,Energy
2020-05-29,291.59,292.04,293.39,285.33,546.78M,-0.15,Energy
2020-06-01,296.5,291.59,298.04,287.2,269.78M,1.68,Energy
2020-06-02,304.37,296.5,304.72,296.5,269.62M,2.65,Energy
2020-06-03,313.65,304.37,314.83,304.37,267.73M,3.05,Energy
2020-06-04,313.17,313.65,314.34,307.36,277.38M,-0.15,Energy
2020-06-05,336.52,313.17,339.33,313.17,482.39M,7.46,Energy
2020-06-08,351.06,336.52,351.11,336.52,486.96M,4.32,Energy
2020-06-09,338.46,351.06,351.06,334.02,346.56M,-3.59,Energy
2020-06-10,321.81,338.46,338.46,321.81,313.87M,-4.92,Energy
2020-06-11,291.39,321.81,321.81,290.91,373.96M,-9.45,Energy
2020-06-12,299.28,291.39,306.81,291.19,311.76M,2.71,Energy
2020-06-15,299.54,299.28,302.76,283.6,296.98M,0.09,Energy
2020-06-16,307.99,299.54,314.21,299.54,299.98M,2.82,Energy
2020-06-17,297.89,307.99,307.99,297.85,231.21M,-3.28,Energy
2020-06-18,301.45,297.89,304.48,293.12,218.13M,1.2,Energy
2020-06-19,296.4,301.45,310.53,296.4,468.66M,-1.68,Energy
2020-06-22,298.27,296.4,298.94,291.79,207.96M,0.63,Energy
2020-06-23,298.5,298.27,303.25,297.56,229.72M,0.08,Energy
2020-06-24,281.97,298.5,298.5,280.34,272.61M,-5.54,Energy
2020-06-25,287.39,281.97,288.36,278.18,224.17M,1.92,Energy
2020-06-26,277.3,287.39,287.39,276.29,295.46M,-3.51,Energy
2020-06-29,281.26,277.3,283.59,276.95,222.40M,1.43,Energy
2020-06-30,287.46,281.26,289.17,276.11,249.36M,2.2,Energy
2020-07-01,280.3,287.46,292.49,280.16,237.92M,-2.49,Energy
2020-07-02,283.46,280.3,290.14,280.3,214.10M,1.13,Energy
2020-07-06,284.51,283.46,290.23,281.08,238.68M,0.37,Energy
2020-07-07,275.46,284.51,284.51,275.12,206.81M,-3.18,Energy
2020-07-08,275.17,275.46,279.85,273.24,212.34M,-0.11,Energy
2020-07-09,261.81,275.17,275.17,261.64,250.62M,-4.86,Energy
2020-07-10,270.32,261.81,270.52,260.78,212.90M,3.25,Energy
2020-07-13,268.87,270.32,273.79,266.88,215.13M,-0.54,Energy
2020-07-14,278.56,268.87,278.95,266.48,223.00M,3.6,Energy
2020-07-15,284.02,278.56,286.11,278.56,217.04M,1.96,Energy
2020-07-16,282.57,284.02,286.25,278.67,162.72M,-0.51,Energy
2020-07-17,278.27,282.57,286.35,277.27,185.35M,-1.52,Energy
2020-07-20,273.46,278.27,280.39,273.45,295.08M,-1.73,Energy
2020-07-21,290.28,273.46,292.24,273.46,339.84M,6.15,Energy
2020-07-22,286.39,290.28,290.28,282.44,222.18M,-1.34,Energy
2020-07-23,285.79,286.39,287.26,282.39,210.89M,-0.21,Energy
2020-07-24,284.11,285.79,290.08,283.26,182.94M,-0.59,Energy
2020-07-27,284.71,284.11,285.88,280.47,193.82M,0.21,Energy
2020-07-28,279.73,284.71,285.62,279.18,187.98M,-1.75,Energy
2020-07-29,285.7,279.73,285.74,278.78,195.16M,2.13,Energy
2020-07-30,273.99,285.7,285.7,271.68,275.78M,-4.1,Energy
2020-07-31,272.09,273.99,273.99,266.58,285.58M,-0.69,Energy
2020-08-03,272.81,272.09,274.29,269.88,251.41M,0.26,Energy
2020-08-04,279.51,272.81,280.16,271.88,235.12M,2.46,Energy
2020-08-05,282.46,279.51,285.83,279.51,247.72M,1.06,Energy
2020-08-06,280.45,282.46,283.45,279.4,187.30M,-0.71,Energy
2020-08-07,280.59,280.45,281.2,274.77,191.58M,0.05,Energy
2020-08-10,289.24,280.59,289.35,280.59,219.26M,3.08,Energy
2020-08-11,288.55,289.24,298.49,287.31,272.67M,-0.24,Energy
2020-08-12,290.07,288.55,293.31,287.0,225.02M,0.53,Energy
2020-08-13,284.31,290.07,290.07,283.78,181.00M,-1.99,Energy
2020-08-14,286.99,284.31,287.3,281.16,150.60M,0.94,Energy
2020-08-17,285.18,286.99,286.99,283.49,192.97M,-0.63,Energy
2020-08-18,280.29,285.18,285.73,279.6,170.54M,-1.71,Energy
2020-08-19,277.05,280.29,281.42,276.34,166.58M,-1.16,Energy
2020-08-20,271.15,277.05,277.05,271.15,174.84M,-2.13,Energy
2020-08-21,269.45,271.15,271.15,267.01,188.24M,-0.63,Energy
2020-08-24,276.87,269.45,278.71,269.45,185.18M,2.75,Energy
2020-08-25,272.94,276.87,278.5,271.65,173.44M,-1.42,Energy
2020-08-26,266.85,272.94,272.94,266.71,172.97M,-2.23,Energy
2020-08-27,267.52,266.85,269.13,264.15,189.10M,0.25,Energy
2020-08-28,272.48,267.52,272.94,267.1,173.57M,1.85,Energy
2020-08-31,266.5,272.48,272.76,266.44,205.54M,-2.19,Energy
2020-09-01,264.05,266.5,266.5,261.13,186.31M,-0.92,Energy
2020-09-02,262.95,264.05,265.76,261.36,217.11M,-0.42,Energy
2020-09-03,261.18,262.95,267.82,259.48,277.05M,-0.67,Energy
2020-09-04,260.32,261.18,265.48,257.11,239.32M,-0.33,Energy
2020-09-08,250.67,260.32,260.32,247.85,338.17M,-3.71,Energy
2020-09-09,252.21,250.67,255.07,250.67,244.22M,0.61,Energy
2020-09-10,242.96,252.21,253.19,242.89,304.82M,-3.67,Energy
2020-09-11,243.58,242.96,245.02,241.46,260.20M,0.26,Energy
2020-09-14,245.09,243.58,247.21,242.3,227.81M,0.62,Energy
2020-09-15,243.22,245.09,248.94,242.58,230.52M,-0.76,Energy
2020-09-16,253.06,243.22,256.27,243.22,298.94M,4.05,Energy
2020-09-17,253.58,253.06,253.67,246.57,237.66M,0.21,Energy
2020-09-18,250.65,253.58,253.58,248.11,368.18M,-1.16,Energy
2020-09-21,242.45,250.65,250.65,238.44,265.96M,-3.27,Energy
2020-09-22,239.96,242.45,246.34,239.53,200.38M,-1.03,Energy
2020-09-23,229.05,239.96,241.58,228.93,238.96M,-4.55,Energy
2020-09-24,229.24,229.05,233.26,224.26,250.68M,0.08,Energy
2020-09-25,229.09,229.24,230.81,225.54,251.57M,-0.07,Energy
2020-09-28,234.42,229.09,237.02,229.09,262.49M,2.33,Energy
2020-09-29,228.03,234.42,234.42,225.63,244.34M,-2.73,Energy
2020-09-30,227.49,228.03,231.87,226.25,241.74M,-0.24,Energy
2020-10-01,220.36,227.49,227.49,219.05,306.60M,-3.13,Energy
2020-10-02,222.55,220.36,224.28,214.35,275.50M,0.99,Energy
2020-10-05,229.05,222.55,229.05,222.55,209.13M,2.92,Energy
2020-10-06,225.56,229.05,233.64,225.19,250.27M,-1.52,Energy
2020-10-07,228.82,225.56,229.39,224.39,204.09M,1.45,Energy
2020-10-08,237.46,228.82,237.64,228.82,219.46M,3.78,Energy
2020-10-09,233.68,237.46,240.14,233.34,219.98M,-1.59,Energy
2020-10-12,234.41,233.68,235.16,230.57,183.84M,0.31,Energy
2020-10-13,230.76,234.41,235.67,230.05,194.91M,-1.56,Energy
2020-10-14,231.47,230.76,236.81,230.76,221.29M,0.31,Energy
2020-10-15,234.18,231.47,234.27,225.54,217.04M,1.17,Energy
2020-10-16,228.78,234.18,234.18,228.58,241.74M,-2.31,Energy
2020-10-19,223.97,228.78,230.81,223.85,257.65M,-2.1,Energy
2020-10-20,226.51,223.97,228.39,223.75,248.77M,1.13,Energy
2020-10-21,222.01,226.51,226.51,221.99,255.68M,-1.99,Energy
2020-10-22,231.24,222.01,231.62,221.13,283.06M,4.16,Energy
2020-10-23,229.96,231.24,233.84,227.39,243.30M,-0.55,Energy
2020-10-26,221.99,229.96,229.96,219.76,249.30M,-3.47,Energy
2020-10-27,218.92,221.99,221.99,218.56,236.08M,-1.38,Energy
2020-10-28,209.69,218.92,218.92,208.74,322.09M,-4.22,Energy
2020-10-29,216.41,209.69,217.07,204.51,286.98M,3.2,Energy
2020-10-30,216.82,216.41,217.17,211.94,299.64M,0.19,Energy
2020-11-02,224.77,216.82,227.45,215.95,282.45M,3.67,Energy
2020-11-03,223.09,224.77,228.43,221.2,233.85M,-0.75,Energy
2020-11-04,223.45,223.09,228.8,217.69,296.81M,0.16,Energy
2020-11-05,223.36,223.45,227.92,223.26,279.36M,-0.04,Energy
2020-11-06,218.58,223.36,226.64,217.78,245.07M,-2.14,Energy
2020-11-09,249.67,218.58,254.94,218.58,535.12M,14.22,Energy
2020-11-10,255.97,249.67,256.04,247.72,343.25M,2.52,Energy
2020-11-11,253.82,255.97,258.86,251.46,265.50M,-0.84,Energy
2020-11-12,245.21,253.82,253.82,243.03,228.75M,-3.39,Energy
2020-11-13,254.55,245.21,255.59,245.21,208.86M,3.81,Energy
2020-11-16,271.09,254.55,271.47,254.55,313.80M,6.5,Energy
2020-11-17,272.44,271.09,272.62,262.85,255.52M,0.5,Energy
2020-11-18,264.6,272.44,275.69,264.58,295.40M,-2.88,Energy
2020-11-19,268.65,264.6,269.29,260.02,234.03M,1.53,Energy
2020-11-20,267.24,268.65,269.3,265.56,201.06M,-0.52,Energy
