Date,Price,Open,High,Low,Vol.,Change %,Index
2020-01-02,1190.45,1190.89,1191.18,1181.81,141.43M,0.19,Health
2020-01-03,1180.33,1178.35,1186.62,1173.23,129.62M,-0.85,Health
2020-01-06,1187.27,1176.88,1187.54,1175.34,145.36M,0.59,Health
2020-01-07,1184.41,1184.56,1185.9,1178.59,154.61M,-0.24,Health
2020-01-08,1192.03,1185.38,1197.8,1184.71,171.13M,0.64,Health
2020-01-09,1197.64,1194.14,1200.93,1193.97,160.16M,0.47,Health
2020-01-10,1198.13,1201.4,1204.15,1196.19,136.97M,0.04,Health
2020-01-13,1193.9,1198.14,1198.72,1189.82,168.88M,-0.35,Health
2020-01-14,1200.43,1189.92,1200.59,1187.92,218.99M,0.55,Health
2020-01-15,1210.62,1201.23,1213.83,1201.23,173.47M,0.85,Health
2020-01-16,1216.96,1214.87,1217.77,1211.06,148.55M,0.52,Health
2020-01-17,1217.69,1218.04,1218.98,1214.59,191.96M,0.06,Health
2020-01-21,1218.2,1215.49,1220.99,1214.1,191.81M,0.04,Health
2020-01-22,1219.64,1219.24,1223.74,1218.1,162.77M,0.12,Health
2020-01-23,1213.6,1217.65,1218.28,1205.42,192.34M,-0.5,Health
2020-01-24,1193.25,1214.67,1214.97,1190.33,211.28M,-1.68,Health
2020-01-27,1184.21,1184.04,1188.65,1179.11,200.24M,-0.76,Health
2020-01-28,1189.86,1186.08,1194.69,1184.35,210.46M,0.48,Health
2020-01-29,1186.54,1192.02,1195.07,1186.44,166.19M,-0.28,Health
2020-01-30,1177.34,1179.38,1179.38,1167.34,199.62M,-0.78,Health
2020-01-31,1153.96,1172.33,1173.2,1150.37,228.46M,-1.99,Health
2020-02-03,1164.64,1161.11,1172.63,1161.11,207.90M,0.93,Health
2020-02-04,1184.41,1173.52,1189.56,1173.52,190.64M,1.7,Health
2020-02-05,1207.71,1191.0,1211.81,1189.71,239.32M,1.97,Health
2020-02-06,1209.05,1213.31,1213.98,1203.71,204.51M,0.11,Health
2020-02-07,1199.27,1208.75,1210.04,1197.61,194.15M,-0.81,Health
2020-02-10,1205.41,1194.57,1205.45,1193.97,187.00M,0.51,Health
2020-02-11,1212.83,1208.68,1213.92,1207.73,155.35M,0.62,Health
2020-02-12,1214.51,1215.6,1219.87,1209.69,206.22M,0.14,Health
2020-02-13,1207.93,1209.57,1213.16,1205.74,178.47M,-0.54,Health
2020-02-14,1209.53,1209.08,1209.54,1203.35,159.34M,0.13,Health
2020-02-18,1205.08,1208.37,1210.65,1201.03,174.54M,-0.37,Health
2020-02-19,1210.55,1207.81,1212.18,1207.06,155.02M,0.45,Health
2020-02-20,1203.03,1208.03,1208.69,1192.16,178.60M,-0.62,Health
2020-02-21,1203.41,1200.16,1204.4,1194.05,176.38M,0.03,Health
2020-02-24,1164.14,1190.9,1190.9,1159.05,259.05M,-3.26,Health
2020-02-25,1129.79,1167.11,1169.88,1125.32,276.84M,-2.95,Health
2020-02-26,1128.63,1134.65,1148.58,1126.78,267.59M,-0.1,Health
2020-02-27,1091.03,1120.15,1131.2,1090.74,353.45M,-3.33,Health
2020-02-28,1075.66,1071.03,1076.21,1046.39,446.18M,-1.41,Health
2020-03-02,1127.57,1079.05,1127.62,1073.26,331.76M,4.83,Health
2020-03-03,1098.88,1129.71,1148.88,1084.37,320.98M,-2.54,Health
2020-03-04,1162.75,1125.19,1163.99,1125.19,321.83M,5.81,Health
2020-03-05,1134.9,1147.52,1152.39,1122.56,283.95M,-2.4,Health
2020-03-06,1129.02,1117.35,1133.04,1099.87,324.21M,-0.52,Health
2020-03-09,1070.44,1112.7,1112.7,1059.92,353.90M,-5.19,Health
2020-03-10,1107.57,1088.8,1108.68,1057.01,326.38M,3.47,Health
2020-03-11,1064.27,1089.53,1089.53,1051.2,351.18M,-3.91,Health
2020-03-12,985.4,1032.24,1040.74,983.0,428.16M,-7.41,Health
2020-03-13,1053.92,1008.22,1054.25,976.77,411.01M,6.95,Health
2020-03-16,948.61,998.1,1009.73,946.02,381.84M,-9.99,Health
2020-03-17,1007.95,957.64,1015.43,955.62,401.74M,6.26,Health
2020-03-18,973.71,975.93,989.18,927.01,407.97M,-3.4,Health
