Date,Price,Open,High,Low,Vol.,Change %,Index
2020-01-02,700.05,690.46,700.08,690.27,206.68M,1.81,Industrials
2020-01-03,699.23,691.97,699.59,691.96,212.60M,-0.12,Industrials
2020-01-06,699.04,696.37,699.17,694.14,237.97M,-0.03,Industrials
2020-01-07,698.18,697.22,700.14,694.29,192.89M,-0.12,Industrials
2020-01-08,699.78,697.81,702.98,696.92,190.16M,0.23,Industrials
2020-01-09,702.98,701.9,703.63,700.74,159.53M,0.46,Industrials
2020-01-10,697.97,703.32,703.67,696.88,180.02M,-0.71,Industrials
2020-01-13,704.16,699.4,704.42,699.03,178.53M,0.89,Industrials
2020-01-14,704.15,704.21,708.26,702.9,181.45M,0.0,Industrials
2020-01-15,704.75,704.31,707.75,703.27,166.70M,0.09,Industrials
2020-01-16,711.84,707.34,712.05,707.12,167.73M,1.01,Industrials
2020-01-17,711.83,711.29,714.95,710.79,217.40M,0.0,Industrials
2020-01-21,704.1,709.13,710.39,700.98,228.62M,-1.09,Industrials
2020-01-22,700.02,706.12,707.32,699.76,208.26M,-0.58,Industrials
2020-01-23,707.9,700.01,708.62,696.85,227.14M,1.13,Industrials
2020-01-24,704.53,708.54,709.34,699.36,212.26M,-0.48,Industrials
2020-01-27,691.38,693.09,695.69,691.23,226.06M,-1.87,Industrials
2020-01-28,695.72,693.65,699.01,690.11,222.75M,0.63,Industrials
2020-01-29,699.57,700.67,704.65,698.73,375.40M,0.55,Industrials
2020-01-30,700.16,695.44,700.72,691.2,261.91M,0.08,Industrials
2020-01-31,684.12,697.33,697.37,681.48,269.20M,-2.29,Industrials
2020-02-03,683.84,686.45,693.12,682.93,194.48M,-0.04,Industrials
2020-02-04,696.42,690.44,698.1,690.44,189.12M,1.84,Industrials
2020-02-05,707.99,702.12,708.07,700.71,186.22M,1.66,Industrials
2020-02-06,710.17,710.88,711.09,705.76,192.08M,0.31,Industrials
2020-02-07,705.2,708.2,709.32,704.63,192.59M,-0.7,Industrials
2020-02-10,709.17,704.11,709.24,703.56,160.63M,0.56,Industrials
2020-02-11,711.68,711.87,715.0,710.37,157.86M,0.35,Industrials
2020-02-12,718.21,714.76,719.17,713.98,186.35M,0.92,Industrials
2020-02-13,713.22,715.71,716.62,711.23,169.24M,-0.69,Industrials
2020-02-14,712.8,713.21,714.65,709.89,144.66M,-0.06,Industrials
2020-02-18,708.8,710.32,711.78,705.4,165.16M,-0.56,Industrials
2020-02-19,708.42,709.8,711.86,708.25,162.52M,-0.05,Industrials
2020-02-20,707.25,706.73,711.93,702.42,162.88M,-0.17,Industrials
2020-02-21,704.12,705.58,705.74,700.66,188.98M,-0.44,Industrials
2020-02-24,683.15,691.85,691.85,679.33,271.50M,-2.98,Industrials
2020-02-25,655.63,685.14,686.12,653.78,314.18M,-4.03,Industrials
2020-02-26,650.42,659.23,667.86,649.23,313.24M,-0.79,Industrials
2020-02-27,625.79,639.11,650.61,625.72,389.90M,-3.79,Industrials
2020-02-28,618.39,611.69,618.39,599.43,518.68M,-1.18,Industrials
2020-03-02,635.4,621.83,636.97,610.36,417.40M,2.75,Industrials
2020-03-03,619.97,636.03,651.08,616.68,406.40M,-2.43,Industrials
2020-03-04,645.95,626.94,646.49,624.34,355.89M,4.19,Industrials
2020-03-05,613.91,632.45,632.45,611.52,403.33M,-4.96,Industrials
2020-03-06,608.4,599.97,610.84,592.26,478.09M,-0.9,Industrials
2020-03-09,552.41,588.94,588.94,546.9,477.07M,-9.2,Industrials
2020-03-10,581.23,564.07,581.25,549.09,451.10M,5.22,Industrials
2020-03-11,546.68,567.17,567.84,541.08,434.59M,-5.94,Industrials
2020-03-12,490.22,521.61,525.58,489.74,608.87M,-10.33,Industrials
2020-03-13,528.6,506.31,528.6,491.89,522.49M,7.83,Industrials
2020-03-16,468.1,500.99,500.99,467.82,547.68M,-11.45,Industrials
2020-03-17,487.75,473.66,491.56,458.53,542.50M,4.2,Industrials
2020-03-18,452.86,469.15,469.15,423.0,662.77M,-7.15,Industrials
2020-03-19,454.35,449.47,460.53,430.51,525.39M,0.33,Industrials
2020-03-20,431.44,459.97,462.52,429.71,588.26M,-5.04,Industrials
2020-03-23,412.06,426.47,428.67,403.78,519.45M,-4.49,Industrials
2020-03-24,464.6,434.21,466.03,434.21,598.33M,12.75,Industrials
2020-03-25,489.2,474.13,507.37,462.73,667.20M,5.29,Industrials
2020-03-26,520.58,498.38,522.66,494.54,570.43M,6.41,Industrials
2020-03-27,498.02,499.48,512.92,490.68,426.31M,-4.33,Industrials
2020-03-30,505.54,496.84,507.27,490.29,395.75M,1.51,Industrials
2020-03-31,499.12,502.06,509.26,497.04,437.92M,-1.27,Industrials
2020-04-01,476.24,476.03,482.5,469.79,473.84M,-4.58,Industrials
2020-04-02,483.2,472.36,488.64,470.51,473.66M,1.46,Industrials
2020-04-03,475.7,481.7,485.75,471.06,576.40M,-1.55,Industrials
2020-04-06,509.1,497.73,512.02,497.73,628.28M,7.02,Industrials
2020-04-07,508.15,531.16,533.61,507.94,672.98M,-0.19,Industrials
2020-04-08,526.68,515.23,528.85,510.98,553.82M,3.65,Industrials
2020-04-09,534.19,536.28,543.65,529.67,661.96M,1.43,Industrials
2020-04-13,518.92,531.28,531.28,513.98,469.25M,-2.86,Industrials
2020-04-14,528.73,528.9,533.79,523.44,465.86M,1.89,Industrials
2020-04-15,513.82,517.21,517.21,505.48,620.53M,-2.82,Industrials
