Date,Price,Open,High,Low,Vol.,Change %,Index
2020-01-02,237.14,241.09,241.09,236.39,68.50M,-1.32,Real Estate
2020-01-03,239.06,235.84,239.55,235.84,52.06M,0.81,Real Estate
2020-01-06,239.26,238.69,240.03,238.27,48.10M,0.08,Real Estate
2020-01-07,236.4,238.1,238.1,235.21,51.25M,-1.2,Real Estate
2020-01-08,237.4,236.34,238.05,235.9,55.24M,0.42,Real Estate
2020-01-09,237.55,237.23,238.11,236.92,43.96M,0.06,Real Estate
2020-01-10,239.8,238.22,239.95,237.57,54.61M,0.95,Real Estate
2020-01-13,242.77,240.11,242.77,240.11,56.57M,1.24,Real Estate
2020-01-14,241.57,242.46,242.47,240.28,50.13M,-0.49,Real Estate
2020-01-15,243.44,242.34,243.96,242.31,50.56M,0.77,Real Estate
2020-01-16,245.37,243.98,245.38,243.24,44.47M,0.79,Real Estate
2020-01-17,245.7,245.52,246.61,245.18,60.55M,0.13,Real Estate
2020-01-21,248.33,245.96,248.44,245.36,58.57M,1.07,Real Estate
2020-01-22,246.37,249.04,249.53,245.9,49.59M,-0.79,Real Estate
2020-01-23,248.75,246.59,248.79,245.74,43.17M,0.97,Real Estate
2020-01-24,248.17,248.91,249.54,247.34,44.93M,-0.23,Real Estate
2020-01-27,247.14,246.5,247.86,246.47,51.32M,-0.42,Real Estate
2020-01-28,247.88,247.39,248.75,246.95,49.09M,0.3,Real Estate
2020-01-29,246.33,248.59,248.83,246.25,52.87M,-0.63,Real Estate
2020-01-30,246.98,245.36,247.23,245.26,62.71M,0.26,Real Estate
2020-01-31,243.62,246.52,246.67,242.91,88.03M,-1.36,Real Estate
2020-02-03,243.94,244.46,245.97,243.56,77.75M,0.13,Real Estate
2020-02-04,246.84,244.69,247.82,244.17,58.17M,1.19,Real Estate
2020-02-05,246.67,247.07,247.68,246.09,52.23M,-0.07,Real Estate
2020-02-06,247.66,247.05,248.37,247.05,41.03M,0.4,Real Estate
2020-02-07,247.78,248.03,248.13,247.22,41.08M,0.05,Real Estate
2020-02-10,250.82,248.67,250.83,248.45,46.48M,1.23,Real Estate
2020-02-11,253.88,253.09,255.58,253.09,53.74M,1.22,Real Estate
2020-02-12,255.58,254.17,256.03,253.2,61.10M,0.67,Real Estate
2020-02-13,256.87,254.91,257.31,254.91,54.30M,0.5,Real Estate
2020-02-14,259.71,257.32,259.71,256.95,48.95M,1.11,Real Estate
2020-02-18,259.31,259.5,259.89,257.85,53.22M,-0.15,Real Estate
2020-02-19,255.78,259.46,259.46,255.78,60.01M,-1.36,Real Estate
2020-02-20,258.73,256.21,258.79,255.35,65.71M,1.15,Real Estate
2020-02-21,259.71,258.17,260.21,258.17,71.91M,0.38,Real Estate
2020-02-24,256.23,257.0,259.04,255.22,68.36M,-1.34,Real Estate
2020-02-25,249.64,257.18,257.85,249.01,86.35M,-2.57,Real Estate
2020-02-26,247.45,249.85,252.09,247.25,83.40M,-0.88,Real Estate
2020-02-27,233.62,243.03,244.34,233.61,114.41M,-5.59,Real Estate
2020-02-28,227.7,229.1,230.11,221.33,149.49M,-2.53,Real Estate
2020-03-02,239.21,228.87,239.24,228.56,104.63M,5.05,Real Estate
2020-03-03,238.96,239.38,244.96,236.84,106.56M,-0.1,Real Estate
2020-03-04,248.49,241.5,248.5,241.5,81.57M,3.99,Real Estate
2020-03-05,242.63,244.54,246.11,239.96,82.26M,-2.36,Real Estate
2020-03-06,238.52,237.34,239.41,230.67,97.20M,-1.69,Real Estate
2020-03-09,221.47,229.93,229.93,221.45,107.27M,-7.15,Real Estate
2020-03-10,232.52,226.11,232.64,219.4,110.48M,4.99,Real Estate
2020-03-11,219.87,226.88,227.14,217.72,150.71M,-5.44,Real Estate
2020-03-12,200.75,207.38,213.93,197.16,157.12M,-8.7,Real Estate
2020-03-13,218.08,207.24,218.42,200.98,155.09M,8.63,Real Estate
2020-03-16,181.99,208.52,208.52,181.8,140.85M,-16.55,Real Estate
2020-03-17,194.62,185.34,199.27,181.84,158.76M,6.94,Real Estate
2020-03-18,180.1,183.52,190.15,175.4,154.02M,-7.46,Real Estate
2020-03-19,177.68,179.85,182.3,173.02,150.28M,-1.34,Real Estate
2020-03-20,167.95,178.55,182.83,166.41,174.27M,-5.48,Real Estate
2020-03-23,158.62,166.37,166.37,154.86,145.24M,-5.56,Real Estate
2020-03-24,172.18,165.9,172.67,163.2,138.43M,8.55,Real Estate
2020-03-25,179.92,171.91,189.14,171.19,129.28M,4.5,Real Estate
2020-03-26,193.97,180.8,194.26,180.08,115.77M,7.81,Real Estate
2020-03-27,193.83,187.24,198.54,187.24,105.85M,-0.07,Real Estate
2020-03-30,199.13,196.53,199.75,190.8,107.34M,2.73,Real Estate
2020-03-31,192.64,196.73,197.15,188.08,138.19M,-3.26,Real Estate
2020-04-01,180.87,182.37,184.23,176.87,114.69M,-6.11,Real Estate
2020-04-02,183.29,178.41,185.92,178.23,110.60M,1.34,Real Estate
2020-04-03,181.9,181.57,184.75,178.55,92.42M,-0.76,Real Estate
2020-04-06,195.02,189.97,195.79,189.55,108.38M,7.21,Real Estate
2020-04-07,195.25,203.72,204.72,195.12,110.20M,0.12,Real Estate
2020-04-08,209.71,197.45,210.65,195.54,98.07M,7.41,Real Estate
2020-04-09,220.5,213.02,223.08,213.02,133.06M,5.15,Real Estate
2020-04-13,210.39,218.78,219.28,209.1,74.31M,-4.59,Real Estate
2020-04-14,217.24,215.45,218.02,214.79,78.69M,3.26,Real Estate
2020-04-15,208.96,211.39,212.91,207.12,83.68M,-3.81,Real Estate
2020-04-16,207.72,209.93,210.94,206.35,83.19M,-0.59,Real Estate
2020-04-17,214.41,213.73,215.12,210.78,89.91M,3.22,Real Estate
2020-04-20,206.4,211.07,211.07,206.4,81.18M,-3.74,Real Estate
2020-04-21,203.08,201.41,204.64,200.8,80.99M,-1.61,Real Estate
2020-04-22,206.95,206.53,208.32,204.9,68.88M,1.91,Real Estate
2020-04-23,204.49,207.14,208.44,203.99,74.10M,-1.19,Real Estate
2020-04-24,205.08,205.45,206.04,202.91,80.28M,0.29,Real Estate
2020-04-27,211.23,206.94,211.74,206.87,71.72M,3.0,Real Estate
2020-04-28,211.28,215.66,217.21,211.08,88.84M,0.02,Real Estate
2020-04-29,212.02,215.81,216.03,211.73,112.92M,0.35,Real Estate
2020-04-30,210.61,208.23,211.15,206.94,98.58M,-0.67,Real Estate
2020-05-01,203.79,205.32,206.53,202.61,81.22M,-3.24,Real Estate
2020-05-04,203.76,202.35,203.89,199.13,72.07M,-0.01,Real Estate
2020-05-05,205.04,205.91,207.77,204.8,76.08M,0.63,Real Estate
2020-05-06,201.26,205.77,206.52,201.26,82.04M,-1.84,Real Estate
2020-05-07,202.97,202.88,205.47,201.94,99.62M,0.85,Real Estate
2020-05-08,206.76,206.12,207.14,204.86,81.09M,1.87,Real Estate
2020-05-11,204.25,204.62,207.34,203.3,91.52M,-1.21,Real Estate
2020-05-12,195.57,205.08,205.1,195.57,114.42M,-4.25,Real Estate
