Date,Price,Open,High,Low,Vol.,Change %,Index
2020-01-02,1639.1,1611.2,1639.5,1611.2,372.41M,1.73,Technology
2020-01-03,1621.7,1639.1,1639.1,1615.9,334.21M,-1.06,Technology
2020-01-06,1626.4,1621.7,1626.7,1602.4,339.78M,0.29,Technology
2020-01-07,1624.6,1626.4,1632.3,1622.3,382.70M,-0.11,Technology
2020-01-08,1641.4,1624.6,1648.4,1623.2,372.78M,1.03,Technology
2020-01-09,1659.9,1641.4,1661.1,1641.4,374.92M,1.13,Technology
2020-01-10,1656.8,1659.9,1669.6,1653.7,323.40M,-0.19,Technology
2020-01-13,1679.1,1656.8,1679.1,1656.8,335.76M,1.34,Technology
2020-01-14,1669.1,1679.1,1680.9,1666.7,350.82M,-0.6,Technology
2020-01-15,1670.3,1669.1,1679.0,1665.4,328.28M,0.07,Technology
2020-01-16,1693.7,1670.3,1693.8,1670.3,346.83M,1.4,Technology
2020-01-17,1705.8,1693.7,1706.3,1692.4,436.20M,0.71,Technology
2020-01-21,1704.3,1705.8,1714.0,1699.2,413.87M,-0.08,Technology
2020-01-22,1710.6,1704.3,1722.3,1704.3,352.58M,0.37,Technology
2020-01-23,1718.8,1710.6,1719.3,1705.0,350.12M,0.48,Technology
2020-01-24,1711.1,1718.8,1735.0,1704.5,453.66M,-0.45,Technology
2020-01-27,1670.7,1711.1,1711.1,1663.2,397.93M,-2.36,Technology
2020-01-28,1702.0,1670.7,1706.2,1670.7,374.14M,1.87,Technology
2020-01-29,1705.6,1702.0,1717.9,1699.3,438.04M,0.21,Technology
2020-01-30,1720.7,1705.6,1721.8,1695.2,426.14M,0.88,Technology
2020-01-31,1673.9,1720.7,1720.7,1667.8,487.83M,-2.72,Technology
2020-02-03,1696.0,1673.9,1699.5,1672.6,381.72M,1.32,Technology
2020-02-04,1740.1,1696.0,1743.6,1696.0,377.58M,2.6,Technology
2020-02-05,1750.6,1740.1,1768.2,1737.5,391.16M,0.6,Technology
2020-02-06,1766.0,1750.6,1766.2,1749.0,338.83M,0.88,Technology
2020-02-07,1748.7,1766.0,1766.0,1744.8,362.90M,-0.98,Technology
2020-02-10,1772.4,1748.7,1772.5,1737.7,360.60M,1.35,Technology
2020-02-11,1766.3,1772.4,1787.1,1760.9,405.42M,-0.34,Technology
2020-02-12,1785.0,1766.3,1785.9,1766.3,423.36M,1.06,Technology
2020-02-13,1779.7,1785.0,1789.7,1768.7,415.69M,-0.3,Technology
2020-02-14,1788.5,1779.7,1791.0,1778.3,351.70M,0.49,Technology
